,,21-Jan-09,,,
Anthem AV pre/pro RS-232 commands,,,,,
Main Zone Specific Commands,,,,,
P1EU,nx,"Set source n Dolby Digital 2.0 surround encoded (i.e. flagged) input THX mode to x=0,1,2 (0=Off, 1=THX Cinema,2=THX Games)",,,
P1ET,nx,"Set source n stereo source input THX mode to x=0,1,2 (0=Off, 1=THX Cinema,2=THX Games)",,,
P1EW,nx,"Set source n 7.1 input effect to x =0,1 (0=Off, 1=THX Cinema)",,,
P1EX,nx,"Set source n Dolby D 5.1 input effects to x=0,1,2,...,a,b (0=Off,1=THX Cinema 5.1, 2=THX Ultra2 Cinema, 3=THX MusicMode, 4=THX Surround EX,5=THX Games Mode,6=PLIIx Movie,7=PLIIx Movie+THX,8=PLIIx Music,9=Dolby Digital EX,a=Neo:6,b=Neo:6+THX). Note that for older firmware that did not have a ""P1EY"" command, this also affects the 6.0 input effect for source 6-Ch SE.",,,
P1EY,nx,"Set source n 6.0 input (analog or PCM) effects to x=0,1,2,...,a,b (0=Off,1=THX Cinema 5.1, 2=THX Ultra2 Cinema, 3=THX MusicMode, 4=THX Surround EX,5=THX Games Mode,6=PLIIx Movie,7=PLIIx Movie+THX,8=PLIIx Music,9=Dolby Digital EX,a=Neo:6,b=Neo:6+THX)",,,
P1ED,nx,"Set source n DTS-5.1 input effects to x=0,1,2,..,8,9,a (0=Off,1=THX Cinema 5.1, 2=THX Ultra2 Cinema, 3=THX MusicMode, 4=Neo:6+THX, 5=THX Games,6=PLIIx Movie,7=PLIIx Movie+THX,8=PLIIx Music,9=Dolby D EX,a=Neo:6)",,,
P1EB,x,This is the equivalent of pressing the THX button followed by the up (x='1') or down (x='0') button while in the main zone and displaying the default message.,,,
P1EC,x,This is the equivalent of pressing the MODE button followed by the up (x='1') or down (x='0') button while in the main zone and displaying the default message.,,,
P1EMP,nx,"Set source n Dolby Prologic Music Mode panorama to x=0,1 (0=off,1=on)",,,
P1EMC,nx,"Set source n Dolby Prologic Music Mode center width to x=0,1..7",,,
P1EMD,nx,"Set source n Dolby Prologic Music Mode dimension to x=0,1..6",,,
P1EMG,nx,"Set source n DTS Neo:6 center gain to x=0,1..5",,,
P1ER,nx,"Set source n THX front channel RE-EQ when THX is on to x=0,1 (0=off,1=on)",,,
P1EN,nx,"Set source n THX front channel RE-EQ when THX is off to x=0,1 (0=off,1=on)",,,
P1C,x,Set amount of dynamic range compression in Dolby Digital modes,,,
,,"where x = 0,1,2 (normal, reduced, late night)",,,
P1s,,Show status of Main zone on front panel and on TV (if OS enabled),,,
P1SS,x,Source seek in Main zone,,,
,,"where x = +,- (seek up, seek down)",,,
P1Z,x,Turn On Sleep Timer in Main zone,,,
,,"where x = 0,1,2,3 (Off, 30 min, 60 min, 90 min)",,,
P1z,xA,"display a message ""A"" on the main zone OSD and front panel LCD line x=1,2(1=line 1,2=line 2) ",,,
P1U,A,"Manipulate the setup menus. Parameter A consists of zero or more characters from the set ""oqudlrse0123456789"", followed by a terminating line feed, semi-colin or null. Note that the effect of a specific string depends on the current state and software version - do not rely on specific string sequences to always have the same effect. The commands are: 'o' - open setup menu, 'q' - quit setup menu, 'u' - up, 'd' - down, 'l' - left, 'r' - right, 's' - select, 'e' - back, '0' to '9' - 0 to 9.",,,
P1G,n,"Manipulate the video adjustment menu or color bar according to n where n is 'u'=up, 'd'=down, 'l'=left, 'r'=right, 'e'=back, 's'=select, 'q'=quit, 'f'=bar on and 'o'=menu on. Note that 'f' and 'o' will turn off the video adjustment menu, color bar, the logo and the status lines before turning the color bar or video menu on. Note that 'e' and 's' do not work with the color bar. The other commands are only valid when the video adjustment menu or color bar is on. These commands are only valid on an AVM 50 or a Statement D2.",,,
P1P?,,query main zone power: returns P1Px,,,
P1S?,,query main zone source: returns P1Sx or P1Xxy (if in simulcast),,,
P1VM?,,query main zone volume: returns P1VMsxx.x,,,
P1VF?,,query current main zone front volume returns P1VFsxx.x (returns P1VF +0.0 if no signal),,,
P1VC?,,query current main zone center volume returns P1VCsxx.x (returns P1VC +0.0 if no signal),,,
P1VR?,,query current main zone surround volume returns P1VRsxx.x (returns P1VR +0.0 if no signal),,,
P1VB?,,query current main zone back volume returns P1VBsxx.x (returns P1VB +0.0 if no signal),,,
P1VS?,,query current main zone subwoofer volume returns P1VSsxx.x (returns P1VS +0.0 if no signal),,,
